facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
Jmvu3tSbPzQ,Burkina Faso,Sahel,Soum,DS Djibo
JNaP6LYeO5j,Burkina Faso,Boucle du Mouhoun,Banwa,DS Solenzo
jNgBsZW2gaW,Burkina Faso,Hauts Bassins,Kenedougou,DS Orodara
jnMZNPHRRQy,Burkina Faso,Plateau Central,Oubritenga,DS Ziniaré
JnofbXhN0Sd,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
JNq3V6GO4uZ,Burkina Faso,Centre,Kadiogo,DS Bogodogo
jNte1MUNw3V,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
JNtjHJuepP6,Burkina Faso,Centre Nord,Namentenga,DS Boulsa
Jo4wZ2IzF6P,Burkina Faso,Hauts Bassins,Tuy,DS Hounde
joAQZvS0GGc,Burkina Faso,Hauts Bassins,Houet,DS Dande
johWbJcpFMG,Burkina Faso,Centre,Kadiogo,DS Bogodogo
jOjRobXEpzW,Burkina Faso,Cascades,Comoé,DS Banfora
jOxkzVEBeIe,Burkina Faso,Plateau Central,Ganzourgou,DS Zorgho
jOxyApm5rsN,Burkina Faso,Centre,Kadiogo,DS Nongr-Massom
joyfaxtxk2B,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
jP174Nd04f7,Burkina Faso,Centre Nord,Namentenga,DS Boulsa
Jpfr3FSpxY3,Burkina Faso,Hauts Bassins,Kenedougou,DS Orodara
jPgoKLWL4TH,Burkina Faso,Hauts Bassins,Tuy,DS Hounde
jpnhSi8p0yP,Burkina Faso,Nord,Loroum,DS Titao
jq1va39a4W1,Burkina Faso,Nord,Loroum,DS Titao
jq8TeFs56Dm,Burkina Faso,Sud Ouest,Bougouriba,DS Diébougou
JqaxUm8XLse,Burkina Faso,Sahel,Soum,DS Djibo
jqGtKdnnRc1,Burkina Faso,Sahel,Yagha,DS Sebba
jqnvxa967rc,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
JQVaBpJwiVj,Burkina Faso,Centre Sud,Bazega,DS Sapone
jqXtpH8qme7,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
JQYexDUERCE,Burkina Faso,Centre,Kadiogo,DS Bogodogo
JqYXiSidRr9,Burkina Faso,Centre Ouest,Boulkiemdé,DS Nanoro
Jr5OFxx9T2m,Burkina Faso,Centre Nord,Bam,DS Kongoussi
jRbSBHCAKiq,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
jRCcG5iIbU0,Burkina Faso,Plateau Central,Ganzourgou,DS Zorgho
jrhMqUvDvvC,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
JrkvNCBp88U,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
JrToYuQ6tjm,Burkina Faso,Hauts Bassins,Kenedougou,DS Orodara
JSecgreK3pI,Burkina Faso,Boucle du Mouhoun,Banwa,DS Solenzo
JsQ5ztrf8Fp,Burkina Faso,Centre Est,Kouritenga,DS Pouytenga
JtDSXfbnVwC,Burkina Faso,Nord,Passoré,DS Yako
jtl6QVGhbDt,Burkina Faso,Est,Gourma,DS Fada
JTouBn47ZdE,Burkina Faso,Hauts Bassins,Houet,DS Karangasso Vigue
jtXXKeiqV9s,Burkina Faso,Centre Est,Boulgou,DS Zabré
ju4ptn8FmeB,Burkina Faso,Centre Ouest,Sissili,DS Léo
jUiPUaGyQr0,Burkina Faso,Centre,Kadiogo,DS Bogodogo
juKea3gQc21,Burkina Faso,Centre Est,Kouritenga,DS Koupéla
JvVstSBP0M3,Burkina Faso,Nord,Yatenga,DS Séguénéga
JW1WYU8gbp2,Burkina Faso,Boucle du Mouhoun,Mouhoun,DS Dedougou
Jw3BHWa8u3H,Burkina Faso,Boucle du Mouhoun,Banwa,DS Solenzo
jWd9wr8v87x,Burkina Faso,Centre,Kadiogo,DS Baskuy
JWgzJxhw6d1,Burkina Faso,Sud Ouest,Ioba,DS Dano
JWhFopbzbUW,Burkina Faso,Nord,Yatenga,DS Ouahigouya
jwkPV5FkKC3,Burkina Faso,Boucle du Mouhoun,Bale,DS Boromo
JWVc8x5gOWQ,Burkina Faso,Centre,Kadiogo,DS Boulmiougou
JwwJPWmxowv,Burkina Faso,Centre Ouest,Boulkiemdé,DS Koudougou
jx74pIAU5lO,Burkina Faso,Centre Nord,Namentenga,DS Tougouri
jxc5imTeENt,Burkina Faso,Centre Sud,Bazega,DS Kombissiri
JxDfNgLPU0z,Burkina Faso,Hauts Bassins,Tuy,DS Hounde
JXgSIlqDftS,Burkina Faso,Centre,Kadiogo,DS Sig-Noghin
JxI4tlBTqTm,Burkina Faso,Centre Sud,Nahouri,DS Po
jXlCaAKSbia,Burkina Faso,Plateau Central,Oubritenga,DS Ziniaré
